Eje X,Eje Y,Eje Z
-17,-6,-3
-40,42,9
-7,-3,73
64,-35,26
36,6,-128
-65,34,-26
-49,-12,10
25,-53,66
102,9,-10
-34,-17,-85
-62,-9,5
13,-48,53
69,-17,47
42,41,-71
-54,0,-49
-64,-28,31
32,-39,72
98,16,-18
-13,-16,-95
-80,-11,4
-10,-49,58
74,-21,34
60,21,-97
-70,3,-48
-59,-25,45
59,-41,74
93,14,-37
-41,-22,-77
-86,-3,21
4,-50,61
85,-1,20
7,5,-105
-83,1,-27
-38,-53,50
79,-35,61
84,33,-40
-48,-20,-85
-91,-4,1
-17,-39,53
85,-51,45
55,20,-93
-75,2,-52
-63,-27,42
59,-43,65
91,33,-22
-50,-17,-77
-84,-10,22
22,-65,66
118,17,0
-14,-9,-88
-82,-5,-20
-21,-51,47
75,-37,46
77,19,-95
-84,-5,-40
-77,-24,31
56,-28,79
118,9,-62
-64,-11,-80
-87,-20,21
24,-51,92
122,18,-31
-46,-11,-83
-94,-14,10
-16,-40,81
118,-15,9
10,-13,-106
-96,-18,-18
-26,-65,48
101,-31,55
42,-38,-116
-92,5,-44
-52,-62,34
82,-54,64
88,23,-54
-67,-13,-57
-81,-11,23
17,-50,76
122,-9,-15
-40,-16,-92
-96,1,8
-7,-52,59
91,-28,16
38,11,-92
-84,-1,-26
-55,-37,36
100,-78,55
91,-34,-90
-86,41,-31
-77,-14,31
43,-57,86
105,13,-49
-53,11,-89
-93,-7,7
8,-66,63
108,6,-4
8,-6,-99
-80,-5,7
-32,-52,46
90,-36,35
61,-13,-103
-82,5,-42
-77,-25,29
66,-47,96
73,58,-79
-74,9,-65
-80,-19,33
44,-57,68
119,-8,-17
-52,-17,-81
-82,-9,1
5,-45,51
115,-15,19
10,8,-90
-96,-7,-9
-22,-40,53
106,-75,45
22,21,-95
-97,7,-26
-48,-38,45
89,-45,43
89,-43,-89
-93,3,-49
-75,-18,38
73,-44,74
88,27,-80
-84,7,-59
-60,-32,29
82,-55,76
83,36,-80
-71,5,-59
-85,-21,35
52,-59,84
107,-5,-62
-64,11,-82
-83,-15,20
14,-56,92
114,-7,-14
-29,-4,-93
-84,4,-3
-15,-68,66
98,-2,17
25,22,-85
-64,-4,-42
-52,-65,43
50,-20,45
37,22,-18
-2,2,-32
-42,-8,3
83,-18,52
54,-37,-126
-114,-14,-36
-21,-99,89
130,-35,22
4,-37,-137
-97,-26,1
-14,-54,78
122,-28,44
54,-48,-126
-102,15,-22
-71,-27,41
78,-29,99
89,-17,-83
-63,2,-70
-75,-15,12
58,-59,94
87,18,-76
-67,25,-58
-60,-29,32
64,-47,82
64,13,-85
-91,20,-42
-59,-45,34
70,-41,68
70,-2,-138
-108,-8,-17
-19,-38,58
109,-4,54
20,-29,-120
-108,-16,-23
-18,-59,91
113,0,8
0,5,-95
-72,-8,-31
-10,-43,95
118,-23,-10
-38,-33,-87
-112,-14,12
-4,-58,73
126,-17,8
4,-12,-109
-104,-1,-9
-26,-54,61
90,-37,25
66,10,-114
-100,-13,-10
-44,-36,49
86,-35,46
93,22,-84
-74,-8,-58
-87,-24,41
45,-48,106
121,17,-45
-41,-26,-101
-95,-18,8
15,-56,126
129,-22,-12
-41,-22,-120
-103,4,-29
-6,-70,82
113,-11,39
21,-29,-115
-96,-4,-14
-7,-69,58
124,-23,40
14,-11,-104
-85,6,-33
-43,-40,51
94,-41,71
43,7,-103
-87,-5,-54
-41,-61,49
75,-32,61
62,18,-68
-83,8,-64
-66,-29,29
61,-34,84
65,83,-52
-67,-5,-63
-70,-49,27
62,-40,73
97,53,-35
-45,-2,-78
-91,-39,18
35,-55,89
125,0,-18
-28,-9,-102
-89,-28,-5
-13,-62,57
135,-19,2
-13,-23,-91
-93,0,-11
-26,-52,57
113,-21,34
-6,-24,-100
-87,-9,-17
-18,-45,51
89,22,68
48,-3,-80
-73,-33,-44
-37,-52,48
82,-11,59
103,-28,-81
-86,-33,-37
-67,-45,36
87,4,61
80,-5,-73
-104,0,-33
-27,-76,40
90,-35,47
31,-33,-100
-109,-7,-6
-24,-67,61
110,-53,38
18,12,-114
-99,18,-39
