timestamp,Eje X,Eje Y,Eje Z
1,1,0,0
2,0,-1,3
3,0,-1,3
4,0,0,0
5,0,-1,0
6,0,-2,0
7,0,0,1
8,0,0,0
9,0,0,0
10,0,0,0
11,0,-2,0
12,0,0,0
13,1,0,0
14,1,3,-1
15,-2,-3,5
16,-3,-8,13
17,0,0,-2
18,-1,0,-1
19,-3,-4,-1
20,-7,-5,-2
21,1,1,-2
22,1,2,0
23,0,0,0
24,0,0,0
25,0,0,1
26,1,0,0
27,1,0,0
28,1,0,3
29,0,0,0
30,1,0,0
31,1,0,0
32,1,0,0
33,0,0,0
34,0,0,0
35,1,0,0
36,1,0,0
37,0,0,0
38,1,0,0
39,0,0,0
40,1,0,0
41,0,0,0
42,0,0,1
43,0,0,0
44,0,-1,0
45,0,-2,0
46,0,-1,0
47,0,-1,0
48,0,0,-1
49,0,0,0
50,0,0,0
51,0,-1,0
52,1,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,1,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,-1,0
61,1,0,0
62,0,0,0
63,1,0,0
64,0,0,0
65,0,0,0
66,1,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,1,0,0
75,0,0,0
76,1,0,0
77,0,0,0
78,0,0,0
79,1,0,0
80,0,0,0
81,0,0,0
82,1,1,0
83,-1,0,0
84,0,0,-1
85,0,1,1
86,0,0,0
87,1,-2,-1
88,1,0,-1
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,1,0,0
95,1,-1,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,-1,1
102,0,0,1
103,0,0,0
104,0,0,1
105,-1,-1,2
106,0,0,0
107,0,0,0
108,1,1,0
109,0,0,-2
110,1,0,0
111,1,0,-1
112,1,0,0
113,0,0,0
114,1,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,1,0,0
119,0,0,0
120,1,0,0
121,1,0,0
122,1,0,0
123,0,0,0
124,0,-2,-1
125,0,-1,1
126,1,-1,2
127,1,0,0
128,1,0,0
129,1,0,-1
130,1,0,-1
131,0,0,1
132,-4,2,2
133,-2,-2,-2
134,0,0,-1
135,1,0,-2
136,0,0,0
137,0,0,1
138,0,0,1
139,0,0,4
140,1,1,1
141,0,-1,0
142,0,-1,1
143,0,0,0
144,-1,-1,-1
145,0,-1,0
146,1,-1,0
147,0,-1,1
148,0,-3,2
149,0,-2,4
150,0,1,5
151,0,0,0
152,-7,-1,-2
153,-7,-3,-3
154,0,1,-4
155,2,0,-3
156,2,0,1
157,0,-1,0
158,1,0,0
159,0,0,0
160,0,0,0
161,0,0,0
162,1,0,0
163,1,0,0
164,0,0,0
165,1,0,0
166,0,-1,1
167,0,-1,1
168,-1,-2,1
169,0,-2,0
170,0,-2,0
171,0,-2,2
172,1,0,3
173,0,0,0
174,0,0,0
175,1,1,3
176,2,1,2
177,1,0,2
178,0,0,0
179,2,1,0
180,1,0,0
181,0,0,0
182,0,0,-1
183,0,0,0
184,0,-1,-1
185,1,0,-2
186,0,0,0
187,0,-1,0
188,1,0,0
189,0,0,0
