Eje X,Eje Y,Eje Z
-25,17,-11
-67,15,-14
1,22,-15
-4,-2,20
24,-14,19
23,-15,-8
-45,10,-5
-8,3,-4
0,3,5
3,4,-5
-3,-11,5
40,-20,10
8,6,-11
-34,8,-7
3,8,-13
19,-3,-10
-18,-6,8
14,-10,20
33,-11,1
-40,18,-8
-1,6,-10
13,0,-5
-10,-3,10
10,-8,13
25,-4,-2
-27,16,-6
-9,2,2
27,-2,-14
-16,-7,12
-2,-14,13
30,-5,-6
-15,3,-5
-20,8,0
4,-10,2
6,3,0
-10,-13,11
18,-8,19
20,-9,-2
-52,14,-6
10,15,-22
39,5,-21
-18,-10,8
11,-8,20
29,-6,-7
-19,8,-4
-14,-1,-10
-5,16,-12
10,-2,-2
-10,-7,12
-7,-12,11
16,-7,10
32,-7,3
-37,12,-14
-7,-3,-6
2,14,-1
18,0,-10
7,2,0
-17,-11,0
-7,-7,5
21,1,7
30,-30,0
-18,10,-4
-26,12,-11
-5,3,1
0,17,0
20,0,-9
-14,-9,5
-7,-12,8
21,-7,7
25,-8,1
0,0,2
-25,10,-4
3,7,-26
-5,2,0
20,2,-10
11,-5,-6
-13,-1,0
-4,-5,4
14,0,-3
23,-13,-10
3,6,-3
-27,7,-2
-12,0,0
-2,3,2
19,6,-18
-9,-7,12
-2,-12,9
22,-2,12
27,0,-1
-22,4,-7
-34,3,-2
-5,6,-1
6,6,-1
27,0,-11
0,0,-2
-15,-7,13
2,-8,12
30,4,-15
10,-6,-5
-32,-4,0
-2,-4,-9
9,8,-5
14,4,-13
-18,-3,5
-3,-3,17
26,-9,5
25,-9,-7
-18,9,-4
-29,2,-8
-10,-5,5
14,12,-5
-6,0,-4
-15,-9,2
6,-9,12
24,9,0
14,-2,2
-37,9,-9
-4,-4,-3
6,10,-2
12,0,-6
-13,-7,6
0,-11,12
15,2,0
33,-5,-8
-12,-2,17
-33,5,-3
-3,3,-11
6,17,-6
4,5,-12
-18,-9,6
8,-3,15
38,6,-7
-3,0,0
